quadkey,avg_d_mbps,avg_u_mbps,avg_lat_ms,tests,devices,DISTRITO,year,quarter,year_quarter,date
2100300120121201,18.315,2.566,15,11,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301100,39.627,14.467,28,14,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122312,38.302,7.358,13,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123033,15.811,3.549,12,3,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123010,16.777,3.422,12,18,9,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123102,45.771,4.482,10,9,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122331,48.089,5.911,8,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121202,58.804,5.989,8,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120102303,14.496,5.613,78,4,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300033,20.185,18.185,12,2,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300123,19.921,3.163,28,22,8,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301112,67.484,51.779,2,3,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122333,6.581,2.806,46,5,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123232,90.67,10.287,11,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122323,1.389,2.822,69,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301002,15.732,2.25,11,4,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300132,15.236,1.492,42,10,5,CALLAO,2019,1,2019Q1,2019-01-01
2100300120120133,8.053,6.561,23,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120301011,32.459,4.46,14,10,4,CALLAO,2019,1,2019Q1,2019-01-01
2100300120102313,4.105,1.057,24,9,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121220,64.6,11.464,10,3,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120120330,13.76,17.556,17,6,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120120113,40.379,6.013,55,9,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300212,18.2,1.17,19,2,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300213,1.104,0.469,324,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123032,20.359,13.446,24,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300121,9.001,3.228,40,2,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123230,19.902,6.042,10,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121200,32.794,5.809,18,3,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120102310,15.454,11.454,120,4,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123021,8.51,0.646,26,2,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121032,2.079,4.356,16,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300113,3.398,0.348,32,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122301,0.197,0.117,41,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300111,12.189,1.318,10,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120122310,14.067,4.475,14,8,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300201,0.406,0.459,28,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300120,5.416,2.817,29,7,3,CALLAO,2019,1,2019Q1,2019-01-01
2100300120120332,3.819,2.981,10,4,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120123003,22.614,3.14,12,2,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121222,9.128,1.092,17,2,2,CALLAO,2019,1,2019Q1,2019-01-01
2100300120300102,0.717,0.975,325,1,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120102312,3.864,0.102,44,4,1,CALLAO,2019,1,2019Q1,2019-01-01
2100300120121323,21.877,5.246,13,49,12,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132212,9.252,4.763,21,27,6,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132323,31.016,5.113,26,1142,14,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132322,40.059,4.66,21,164,15,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123103,24.404,3.031,17,40,6,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132321,34.906,21.102,10,66,15,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132211,13.08,2.327,28,37,8,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123310,18.499,3.796,20,25,9,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120121231,20.446,3.074,15,5,3,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120121311,17.402,5.258,11,47,8,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132203,25.164,4.313,16,18,6,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120121300,30.387,4.68,12,20,2,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132200,23.066,4.343,98,20,10,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120121333,26.788,3.935,15,32,9,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123321,26.047,2.88,41,8,4,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120121122,30.117,4.291,11,79,4,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123332,39.316,7.956,12,70,5,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132120,25.296,4.745,22,36,11,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123312,33.33,4.206,13,31,3,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132022,26.388,4.105,135,24,12,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132223,20.941,3.92,13,90,16,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132303,33.676,5.936,16,46,12,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123303,29.609,5.253,11,16,4,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120121013,23.633,2.994,20,41,3,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132222,18.061,2.69,14,48,11,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132030,18.796,2.909,16,13,9,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132221,12.193,2.757,193,41,7,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120123001,16.241,6.583,14,21,11,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132231,20.891,3.488,14,20,14,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
2100300120132312,31.856,15.828,18,10,5,SAN MARTIN DE PORRES,2019,1,2019Q1,2019-01-01
